Latitude,Longitude,Elevation,X,Y,Z
34.702773,-120.396387,203.2001801,2,2,-40.8837816
34.702773,-120.395387,199.1203308,2,3,-40.06291784
34.702773,-120.394387,183.3010712,2,4,-36.88009016
34.702773,-120.393387,192.5054779,2,5,-38.73201251
34.702773,-120.392387,219.4490814,2,6,-44.15305299
34.702773,-120.391387,182.6699829,2,7,-36.7531155
34.702773,-120.390387,196.3867493,2,8,-39.5129225
34.702773,-120.389387,170.1051178,2,9,-34.22507049
34.702773,-120.388387,167.4510803,2,10,-33.69107938
34.702773,-120.387387,168.7151642,2,11,-33.94541247
34.702773,-120.386387,198.6446228,2,12,-39.96720561
34.702773,-120.385387,213.5931396,2,13,-42.97484023
34.702773,-120.384387,225.7498322,2,14,-45.42076111
34.702773,-120.383387,235.0230103,2,15,-47.28652022
34.702773,-120.382387,257.7610168,2,16,-51.86139656
34.702773,-120.381387,218.2471771,2,17,-43.91123041
34.702773,-120.380387,197.579483,2,18,-39.75289998
34.702773,-120.379387,182.3304443,2,19,-36.6848005
34.702773,-120.378387,170.531662,2,20,-34.31089098
34.702773,-120.377387,161.2863159,2,21,-32.45073166
34.702773,-120.376387,184.7551422,2,22,-37.17264858
34.702773,-120.375387,196.7910919,2,23,-39.59427605
34.702773,-120.374387,195.6974945,2,24,-39.37424476
34.702773,-120.373387,185.9462433,2,25,-37.41229756
34.702773,-120.372387,189.643158,2,26,-38.15611507
34.702773,-120.371387,194.1343079,2,27,-39.05973234
34.702773,-120.370387,201.7089233,2,28,-40.58374145
34.702773,-120.369387,181.54216,2,29,-36.52619806
34.702773,-120.368387,199.0521698,2,30,-40.04920387
34.702773,-120.367387,218.6000366,2,31,-43.98222557
34.702773,-120.366387,225.1362,2,32,-45.29729859
34.702773,-120.365387,202.8073578,2,33,-40.80474595
34.702773,-120.364387,189.1669159,2,34,-38.06029539
34.702773,-120.363387,217.9541779,2,35,-43.85227909
34.702773,-120.362387,242.682251,2,36,-48.82755589
34.702773,-120.361387,228.7923126,2,37,-46.03290676
34.702773,-120.360387,213.6325226,2,38,-42.98276406
34.702773,-120.359387,220.4341736,2,39,-44.35125308
34.702773,-120.358387,232.208313,2,40,-46.72020444
34.702773,-120.357387,235.8243713,2,41,-47.4477537
34.702773,-120.356387,277.8429565,2,42,-55.90187347
34.702773,-120.355387,294.4414978,2,43,-59.24149225
34.702773,-120.354387,279.9663391,2,44,-56.32909706
34.702773,-120.353387,301.3538513,2,45,-60.63225455
34.702773,-120.352387,275.5692749,2,46,-55.44440979
34.702773,-120.351387,288.6292114,2,47,-58.07206293
34.702773,-120.350387,252.6383972,2,48,-50.83072787
34.702773,-120.349387,247.107132,2,49,-49.71783988
34.702773,-120.348387,275.8096313,2,50,-55.49276939
34.702773,-120.347387,287.5284424,2,51,-57.85058871
34.702773,-120.346387,279.7663574,2,52,-56.28886084
34.702773,-120.345387,295.3440857,2,53,-59.42309251
34.702773,-120.344387,300.9449158,2,54,-60.54997691
34.702773,-120.343387,297.3329468,2,55,-59.82325043
34.702773,-120.342387,274.1832275,2,56,-55.1655377
34.702773,-120.341387,293.6971741,2,57,-59.09173466
34.702773,-120.340387,301.8752747,2,58,-60.73716469
34.702773,-120.339387,312.3777466,2,59,-62.85025715
34.702773,-120.338387,329.1463013,2,60,-66.22408254
34.702773,-120.337387,333.9599915,2,61,-67.19259477
34.702773,-120.336387,348.9914551,2,62,-70.21691825
34.702773,-120.335387,375.6227417,2,63,-75.57512071
34.702773,-120.334387,400.1481628,2,64,-80.50962403
34.702773,-120.333387,429.3389587,2,65,-86.38279857
34.702773,-120.332387,442.0306702,2,66,-88.936365
34.702773,-120.331387,401.3307495,2,67,-80.74755992
34.702773,-120.330387,366.3661194,2,68,-73.71269262
34.702773,-120.329387,402.7967224,2,69,-81.04251298
34.702773,-120.328387,388.7034302,2,70,-78.20694915
34.702773,-120.327387,353.1085205,2,71,-71.0452699
34.702773,-120.326387,322.6629028,2,72,-64.9196258
34.702773,-120.325387,371.7104797,2,73,-74.78797543
34.702773,-120.324387,366.7961731,2,74,-73.79921922
34.702773,-120.323387,350.8826294,2,75,-70.59742164
34.702773,-120.322387,358.0841064,2,76,-72.04635547
34.702773,-120.321387,401.2139893,2,77,-80.72406781
34.702773,-120.320387,424.937439,2,78,-85.49721484
34.702773,-120.319387,428.2198181,2,79,-86.157628
34.702773,-120.318387,390.4746704,2,80,-78.56332186
34.702773,-120.317387,375.9915161,2,81,-75.64931796
34.702773,-120.316387,373.2929688,2,82,-75.10637148
34.702773,-120.315387,421.1927185,2,83,-84.74377883
34.702773,-120.314387,447.8742371,2,84,-90.11208794
34.702773,-120.313387,429.5750122,2,85,-86.43029242
34.702773,-120.312387,451.4499207,2,86,-90.83151381
34.702773,-120.311387,432.1384888,2,87,-86.94606271
34.702773,-120.310387,429.3651123,2,88,-86.38806065
34.702773,-120.309387,440.4737854,2,89,-88.62312051
34.702773,-120.308387,446.6311035,2,90,-89.86197005
34.702773,-120.307387,459.6295776,2,91,-92.47725699
34.702773,-120.306387,456.4416199,2,92,-91.83584137
34.702773,-120.305387,421.7653809,2,93,-84.85899823
34.702773,-120.304387,423.3194885,2,94,-85.17168397
34.702773,-120.303387,474.0362549,2,95,-95.37587374
34.702773,-120.302387,479.87854,2,96,-96.55133879
34.702773,-120.301387,443.5563965,2,97,-89.24334042
34.702773,-120.300387,448.5938721,2,98,-90.25687817
34.702773,-120.299387,422.9639587,2,99,-85.10015154
34.701773,-120.398387,181.2508545,3,0,-36.46758752
34.701773,-120.397387,193.0128784,3,1,-38.83410126
34.701773,-120.396387,208.4004974,3,2,-41.93008304
34.701773,-120.395387,179.3896179,3,3,-36.09310759
34.701773,-120.394387,167.4553375,3,4,-33.69193593
34.701773,-120.393387,186.3793182,3,5,-37.49943204
34.701773,-120.392387,189.9650269,3,6,-38.22087494
34.701773,-120.391387,174.9668427,3,7,-35.20324727
34.701773,-120.390387,165.6239014,3,8,-33.32345183
34.701773,-120.389387,162.8447266,3,9,-32.76428315
34.701773,-120.388387,160.1781006,3,10,-32.22775925
34.701773,-120.387387,172.9360809,3,11,-34.79465895
34.701773,-120.386387,184.9481506,3,12,-37.21148178
34.701773,-120.385387,200.0001984,3,13,-40.23994678
34.701773,-120.384387,217.2558136,3,14,-43.71176853
34.701773,-120.383387,230.4264374,3,15,-46.3616919
34.701773,-120.382387,250.6661224,3,16,-50.43390711
34.701773,-120.381387,244.5225067,3,17,-49.19781448
34.701773,-120.380387,228.2784729,3,18,-45.92952245
34.701773,-120.379387,212.7147522,3,19,-42.79810909
34.701773,-120.378387,166.3662415,3,20,-33.47281031
34.701773,-120.377387,160.4450073,3,21,-32.28146076
34.701773,-120.376387,170.7527924,3,22,-34.35538231
34.701773,-120.375387,193.8103485,3,23,-38.99455187
34.701773,-120.374387,193.3573761,3,24,-38.90341403
34.701773,-120.373387,181.7957611,3,25,-36.57722248
34.701773,-120.372387,183.497879,3,26,-36.91968781
34.701773,-120.371387,181.8960114,3,27,-36.59739278
34.701773,-120.370387,194.3534851,3,28,-39.1038307
34.701773,-120.369387,194.8310089,3,29,-39.19990827
34.701773,-120.368387,183.2616425,3,30,-36.87215712
34.701773,-120.367387,207.3686829,3,31,-41.72248243
34.701773,-120.366387,210.6567841,3,32,-42.38404686
34.701773,-120.365387,197.7814789,3,33,-39.79354145
34.701773,-120.364387,177.3925476,3,34,-35.69129797
34.701773,-120.363387,200.1903992,3,35,-40.27821509
34.701773,-120.362387,213.1083069,3,36,-42.87729211
34.701773,-120.361387,213.9931793,3,37,-43.05532803
34.701773,-120.360387,194.1537476,3,38,-39.0636436
34.701773,-120.359387,226.3229065,3,39,-45.5360634
34.701773,-120.358387,243.4009094,3,40,-48.97214963
34.701773,-120.357387,263.4825439,3,41,-53.01256515
34.701773,-120.356387,279.730835,3,42,-56.28171373
34.701773,-120.355387,301.0828247,3,43,-60.57772413
34.701773,-120.354387,270.6946411,3,44,-54.46363574
34.701773,-120.353387,270.8209229,3,45,-54.48904357
34.701773,-120.352387,277.0662537,3,46,-55.74560122
34.701773,-120.351387,252.469223,3,47,-50.79669011
34.701773,-120.350387,209.312561,3,48,-42.11358981
34.701773,-120.349387,255.2709961,3,49,-51.36040554
34.701773,-120.348387,251.4499054,3,50,-50.59160387
34.701773,-120.347387,254.8369446,3,51,-51.27307458
34.701773,-120.346387,273.5475769,3,52,-55.03764509
34.701773,-120.345387,287.7339478,3,53,-57.8919363
34.701773,-120.344387,304.1269531,3,54,-61.19020135
34.701773,-120.343387,313.9243469,3,55,-63.16143242
34.701773,-120.342387,310.5539551,3,56,-62.48331115
34.701773,-120.341387,299.9606323,3,57,-60.35193954
34.701773,-120.340387,323.1047363,3,58,-65.00852249
34.701773,-120.339387,328.6602478,3,59,-66.12628881
34.701773,-120.338387,334.6669312,3,60,-67.3348307
34.701773,-120.337387,350.6984558,3,61,-70.560366
34.701773,-120.336387,372.8762512,3,62,-75.02252811
34.701773,-120.335387,394.5159912,3,63,-79.37643372
34.701773,-120.334387,410.5826721,3,64,-82.60904244
34.701773,-120.333387,441.2280579,3,65,-88.77487978
34.701773,-120.332387,436.6499939,3,66,-87.85377544
34.701773,-120.331387,382.0382996,3,67,-76.86592797
34.701773,-120.330387,341.1309509,3,68,-68.63538847
34.701773,-120.329387,389.0163574,3,69,-78.26990996
34.701773,-120.328387,384.3035889,3,70,-77.32170312
34.701773,-120.327387,361.8156738,3,71,-72.79714509
34.701773,-120.326387,299.4992065,3,72,-60.25910089
34.701773,-120.325387,335.4640503,3,73,-67.4952107
34.701773,-120.324387,312.674408,3,74,-62.90994528
34.701773,-120.323387,345.678833,3,75,-69.55042023
34.701773,-120.322387,394.9190979,3,76,-79.4575386
34.701773,-120.321387,442.0328064,3,77,-88.93679481
34.701773,-120.320387,449.6505432,3,78,-90.46947991
34.701773,-120.319387,423.0169373,3,79,-85.11081079
34.701773,-120.318387,403.8326111,3,80,-81.2509333
34.701773,-120.317387,350.706665,3,81,-70.56201769
34.701773,-120.316387,370.8924866,3,82,-74.62339559
34.701773,-120.315387,404.2366028,3,83,-81.33221624
34.701773,-120.314387,404.5431519,3,84,-81.39389377
34.701773,-120.313387,449.5535889,3,85,-90.44997274
34.701773,-120.312387,465.9413757,3,86,-93.74718782
34.701773,-120.311387,458.4304504,3,87,-92.23599315
34.701773,-120.310387,446.9124146,3,88,-89.9185697
34.701773,-120.309387,431.6260376,3,89,-86.84295777
34.701773,-120.308387,467.8968811,3,90,-94.14063459
34.701773,-120.307387,481.4928589,3,91,-96.87613899
34.701773,-120.306387,481.7916565,3,92,-96.93625693
34.701773,-120.305387,439.0343628,3,93,-88.33350935
34.701773,-120.304387,437.6333008,3,94,-88.05161633
34.701773,-120.303387,467.0266113,3,95,-93.96553672
34.701773,-120.302387,417.9552002,3,96,-84.09239165
34.701773,-120.301387,405.5865479,3,97,-81.60382456
34.701773,-120.300387,399.8421326,3,98,-80.44805088
34.701773,-120.299387,376.4206238,3,99,-75.73565422
34.700773,-120.398387,184.9475555,4,0,-37.21136205
34.700773,-120.397387,193.6590118,4,1,-38.964103
34.700773,-120.396387,189.5524445,4,2,-38.13786356
34.700773,-120.395387,169.4203033,4,3,-34.08728614
34.700773,-120.394387,158.3023529,4,4,-31.85035969
34.700773,-120.393387,160.2013397,4,5,-32.23243495
34.700773,-120.392387,164.2242584,4,6,-33.04184432
34.700773,-120.391387,157.4447937,4,7,-31.67781918
34.700773,-120.390387,158.6853027,4,8,-31.92740902
34.700773,-120.389387,165.4592285,4,9,-33.29031973
34.700773,-120.388387,192.7608795,4,10,-38.7833992
34.700773,-120.387387,202.0777893,4,11,-40.65795711
34.700773,-120.386387,220.556366,4,12,-44.37583813
34.700773,-120.385387,221.9427338,4,13,-44.65477468
34.700773,-120.384387,217.9855804,4,14,-43.85859728
34.700773,-120.383387,233.2121277,4,15,-46.92217149
34.700773,-120.382387,244.0850983,4,16,-49.10980811
34.700773,-120.381387,241.343338,4,17,-48.55816722
34.700773,-120.380387,202.6084442,4,18,-40.76472463
34.700773,-120.379387,195.144165,4,19,-39.26291513
34.700773,-120.378387,170.628006,4,20,-34.33027535
34.700773,-120.377387,158.0593109,4,21,-31.80145975
34.700773,-120.376387,169.9864807,4,22,-34.20120076
34.700773,-120.375387,197.7535858,4,23,-39.78792938
34.700773,-120.374387,190.1293793,4,24,-38.25394257
34.700773,-120.373387,186.1797943,4,25,-37.45928792
34.700773,-120.372387,187.8950043,4,26,-37.80438736
34.700773,-120.371387,172.4692841,4,27,-34.70073964
34.700773,-120.370387,179.6736298,4,28,-36.15025064
34.700773,-120.369387,179.2363129,4,29,-36.06226268
34.700773,-120.368387,164.8362274,4,30,-33.1649722
34.700773,-120.367387,193.4576263,4,31,-38.92358433
34.700773,-120.366387,197.5771179,4,32,-39.75242412
34.700773,-120.365387,187.1299286,4,33,-37.65045449
34.700773,-120.364387,194.600769,4,34,-39.15358411
34.700773,-120.363387,217.3318176,4,35,-43.7270605
34.700773,-120.362387,218.8496704,4,36,-44.03245178
34.700773,-120.361387,177.8892975,4,37,-35.79124382
34.700773,-120.360387,208.0018158,4,38,-41.84986848
34.700773,-120.359387,225.3358002,4,39,-45.33745806
34.700773,-120.358387,243.572998,4,40,-49.00677378
34.700773,-120.357387,258.2440491,4,41,-51.95858242
34.700773,-120.356387,272.2000427,4,42,-54.76652184
34.700773,-120.355387,288.8202209,4,43,-58.11049396
34.700773,-120.354387,288.1325073,4,44,-57.9721263
34.700773,-120.353387,245.0407715,4,45,-49.30208912
34.700773,-120.352387,261.7675171,4,46,-52.66750254
34.700773,-120.351387,229.7194977,4,47,-46.21945596
34.700773,-120.350387,203.6426239,4,48,-40.9728011
34.700773,-120.349387,249.1161346,4,49,-50.12205029
34.700773,-120.348387,238.5305481,4,50,-47.9922352
34.700773,-120.347387,271.447937,4,51,-54.61519852
34.700773,-120.346387,271.6716919,4,52,-54.6602179
34.700773,-120.345387,274.9281921,4,53,-55.31542423
34.700773,-120.344387,293.8938599,4,54,-59.13130775
34.700773,-120.343387,314.5289307,4,55,-63.28307438
34.700773,-120.342387,335.4992676,4,56,-67.50229641
34.700773,-120.341387,353.694458,4,57,-71.16316025
34.700773,-120.340387,364.0482788,4,58,-73.24634417
34.700773,-120.339387,366.2973022,4,59,-73.69884664
34.700773,-120.338387,376.1948242,4,60,-75.69022345
34.700773,-120.337387,367.621521,4,61,-73.96527884
34.700773,-120.336387,378.3904419,4,62,-76.13198071
34.700773,-120.335387,397.7646179,4,63,-80.0300559
34.700773,-120.334387,413.4131165,4,64,-83.17852652
34.700773,-120.333387,449.3656311,4,65,-90.41215572
34.700773,-120.332387,409.8536987,4,66,-82.46237333
34.700773,-120.331387,365.1985474,4,67,-73.47777767
34.700773,-120.330387,319.3666077,4,68,-64.25641274
34.700773,-120.329387,367.7828369,4,69,-73.99773552
34.700773,-120.328387,350.0895386,4,70,-70.43785214
34.700773,-120.327387,327.9254761,4,71,-65.97845308
34.700773,-120.326387,293.9378662,4,72,-59.1401618
34.700773,-120.325387,317.245697,4,73,-63.82968651
34.700773,-120.324387,337.5481873,4,74,-67.91453809
34.700773,-120.323387,396.3182678,4,75,-79.73905093
34.700773,-120.322387,430.9816284,4,76,-86.71330294
34.700773,-120.321387,460.521698,4,77,-92.65675119
34.700773,-120.320387,422.6973572,4,78,-85.04651143
34.700773,-120.319387,374.1779785,4,79,-75.28443504
34.700773,-120.318387,365.4412231,4,80,-73.52660392
34.700773,-120.317387,336.8735352,4,81,-67.7787984
34.700773,-120.316387,355.1767883,4,82,-71.46140442
34.700773,-120.315387,379.7162781,4,83,-76.39873833
34.700773,-120.314387,390.1900024,4,84,-78.50604679
34.700773,-120.313387,423.0713501,4,85,-85.12175863
34.700773,-120.312387,465.3343506,4,86,-93.62505465
34.700773,-120.311387,433.5049133,4,87,-87.22098669
34.700773,-120.310387,393.826416,4,88,-79.23769151
34.700773,-120.309387,429.9518433,4,89,-86.50611065
34.700773,-120.308387,423.3390503,4,90,-85.17561978
34.700773,-120.307387,428.9496155,4,91,-86.30446289
34.700773,-120.306387,445.2363892,4,92,-89.58135417
34.700773,-120.305387,461.0369263,4,93,-92.76041488
34.700773,-120.304387,442.0649109,4,94,-88.94325422
34.700773,-120.303387,436.2129211,4,95,-87.7658366
34.700773,-120.302387,397.2356567,4,96,-79.92362916
34.700773,-120.301387,355.6200867,4,97,-71.55059584
